pktCounter,bytes,timestamp
1,15,2020-01-02T12:42:41.370547
2,15,2020-01-02T12:42:53.653730
3,15,2020-01-02T12:43:05.936609
4,15,2020-01-02T12:43:18.219854
5,15,2020-01-02T12:43:30.503101
6,15,2020-01-02T12:43:42.786349
7,15,2020-01-02T12:43:55.069608
8,15,2020-01-02T12:44:07.352842
9,15,2020-01-02T12:44:19.636092
10,15,2020-01-02T12:44:31.918380
11,15,2020-01-02T12:44:44.201611
12,15,2020-01-02T12:44:56.484835
13,15,2020-01-02T12:45:08.768082
14,15,2020-01-02T12:45:21.047426
15,15,2020-01-02T12:45:33.334578
16,15,2020-01-02T12:45:45.617826
17,15,2020-01-02T12:45:57.901074
18,15,2020-01-02T12:46:10.180269
19,15,2020-01-02T12:46:22.463517
20,15,2020-01-02T12:46:34.746745
